link,title,review,price,installment,cluster,date
https://www.magazineluiza.com.br/fone-bluetooth-arco-abafador-cancelamento-de-ruido-prata-al/p/acbh3eh5kc/ea/fobt/,Fone Bluetooth Arco Abafador Cancelamento De Ruido - Prata,,70.1,,Fone Bluetooth Arco Abafador Cancelamento De Ruido - Prata,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-y30/p/ajdd7g2a4e/ea/fobt/,fone bluetooth y30,,27.0,,fone bluetooth y30,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-vision-vision/p/bbb6c005dh/rc/rcnm/,Fone bluetooth - Vision,,53.99,,Fone bluetooth - Vision,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-m10-tws-a-pronta-no-brasil/p/cced5k5eba/ea/eafn/,Fone Bluetooth M10 Tws A Pronta No Brasil,,32.52,,Fone Bluetooth M10 Tws A Pronta No Brasil,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-hp-62-pmcell/p/khbj3k2784/ea/fobt/,Fone bluetooth hp-62 - PMCell,,39.99,,Fone bluetooth hp-62 - PMCell,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-fio-p9-rp9-rhos/p/cgg9752f01/ea/hebh/,Fone bluetooth fio P9 RP9,,50.92,,Fone bluetooth fio P9 RP9,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-iponds/p/ha0b6hgck9/ea/fobt/,Fone Bluetooth,,169.9,"{'total_amount': 169.9, 'amount_per_installment': 56.63}",Fone Bluetooth,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-de-ouvido-sem-fio-bluetooth-f9-5-touch-display-led-tws/p/fhkda4bbek/ea/fobt/,Fone De Ouvido Sem Fio Bluetooth F9-5 Touch Display Led,4.2,29.9,,Fone De Ouvido Sem Fio Bluetooth F9-5 Touch Display Led,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-de-ouvido-sem-fio-e6s-bluetooth-original-para-celular-notebook-tws/p/bbcj25c251/ea/fobt/,Fone de Ouvido Sem Fio E6s Bluetooth Original Para Celular Notebook,,26.99,,Fone de Ouvido Sem Fio E6s Bluetooth Original Para Celular Notebook,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-esportivo-compativel-com-iphone-android-agold/p/eec69547hg/ea/fobt/,Fone Bluetooth Esportivo Compatível Com iPhone Android,,65.55,,Fone Bluetooth Esportivo Compatível Com iPhone Android,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-ej/p/gfja89ac9j/ea/fobt/,Fone Bluetooth,,100.0,"{'total_amount': 100.0, 'amount_per_installment': 50.0}",Fone Bluetooth,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-jbl-wave-buds-sem-fio-preto/p/fjf6g0bbfa/ea/fobt/,Fone Bluetooth Jbl Wave Buds Sem Fio Preto,,313.5,"{'total_amount': 313.5, 'amount_per_installment': 52.25}",Fone Bluetooth Jbl Wave Buds Sem Fio Preto,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-air-academia-para-samsung-s23-ultra-relogs/p/cd1981h04g/ea/fobt/,Fone Bluetooth Air Academia Para Samsung S23 Ultra,5.0,122.19,"{'total_amount': 138.85, 'amount_per_installment': 46.28}",Fone Bluetooth Air Academia Para Samsung S23 Ultra,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-kaidi-kd-7016/p/je7713fkf0/ea/fobt/,Fone Bluetooth Kaidi KD - 7016,5.0,69.0,"{'total_amount': 69.0, 'amount_per_installment': 34.5}",Fone Bluetooth Kaidi KD - 7016,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-realfit-f3-anc/p/hg34chffk0/ea/fobt/,Fone Bluetooth Realfit F3 Anc,5.0,96.6,"{'total_amount': 105.0, 'amount_per_installment': 35.0}",Fone Bluetooth Realfit F3 Anc,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-kaidi-kd-789/p/ba3hk87kc4/ea/fobt/,Fone Bluetooth Kaidi KD - 789,,65.0,"{'total_amount': 65.0, 'amount_per_installment': 32.5}",Fone Bluetooth Kaidi KD - 7016,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-sem-fio-preto-ecormecea/p/kc8c7bf15j/ea/fobt/,Fone Bluetooth Sem Fio Preto,,44.01,,Fone Bluetooth Sem Fio Preto,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-sem-fio-bluetooth-garrafa-termica-led-500ml-relogio-digital-smart-kit-esportes-kit-sport/p/ab193b56bg/ea/fobt/,Fone sem fio Bluetooth + Garrafa térmica led 500ml + relógio digital smart - Kit Esportes,4.4,59.31,,Fone sem fio Bluetooth + Garrafa térmica led 500ml + relógio digital smart - Kit Esportes,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-sem-fio-bluetooth-garrafa-termica-led-500ml-relogio-digital-smart-kit-esportes-kit-sport/p/aj99831ffh/ea/fobt/,Fone sem fio Bluetooth + Garrafa térmica led 500ml + relógio digital smart - Kit Esportes,4.4,62.91,,Fone sem fio Bluetooth + Garrafa térmica led 500ml + relógio digital smart - Kit Esportes,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-sem-fio-recarregavel-com-microfone-s6-booglee/p/ka2274c7jc/ea/fobt/,Fone Bluetooth Sem Fio Recarregável Com Microfone S6,,19.9,,Fone Bluetooth Sem Fio Recarregável Com Microfone S6,2024-11-25T22:03:51.093240
